<Feature Name>	<Feature Type>	LINE_NAME	X	Y	ELEVATION	<Feature Description>	<Feature Layer Name>	<Index in Layer>	<Last Modified Time>
1	    		748488,841	9826537,799	588,891			0	
1001			749489,208	9826536,731	605,861			1	
2001			750489,581	9826535,664	675,03			2	
3001			751489,961	9826534,596	642,786			3	
4001			752490,346	9826533,528	639,32			4	
5001			753490,738	9826532,46	639,724			5	
1	    		748487,776	9825542,456	622,242			6	
1001			749488,143	9825541,382	659,557			7	
2001			750488,516	9825540,308	684,162			8	
3001			751488,895	9825539,234	692,905			9	
4001			752489,281	9825538,16	698,135			10	
5001			753489,673	9825537,086	701,993			11	
1	    		748486,705	9824547,113	719,274			12	
1001			749487,071	9824546,033	704,697			13	
2001			750487,445	9824544,952	722,604			14	
3001			751487,824	9824543,872	748,424			15	
4001			752488,209	9824542,792	765,817			16	
5001			753488,601	9824541,712	749,701			17	
1	    		748485,627	9823551,769	792,976			18	
1001			749485,994	9823550,683	788,678			19	
2001			750486,367	9823549,597	783,379			20	
3001			751486,746	9823548,51	817,549			21	
4001			752487,132	9823547,424	837,064			22	
5001			753487,524	9823546,338	815,091			23	
1	    		748484,543	9822556,426	843,21			24	
1001			749484,91	9822555,333	893,475			25	
2001			750485,283	9822554,241	923,34			26	
3001			751485,663	9822553,148	899,908			27	
4001			752486,048	9822552,056	913,181			28	
5001			753486,44	9822550,963	884,539			29	
1	    		748483,454	9821561,082	936,9			30	
1001			749483,821	9821559,983	950,784			31	
2001			750484,194	9821558,885	1008,869		32	
3001			751484,573	9821557,786	1148,06			33	
4001			752484,958	9821556,687	1014,196		34	
5001			753485,35	9821555,589	998,509			35	
